v_col,n,k,db,e,e_null,p0,p10,p25
youfeelmost,4344,23,-0.4650092081031332,0.007367831429062536,-0.0008129715084301825,0.0017454730168444306,0.014933313332533818,0.07576447079897475
otherfeel1most,4200,23,-0.4671428571428571,0.0010926289238484639,0.007693601923303224,0.004216375093120747,0.02770948737353718,0.10273816810279868
bondagemost,2148,19,-0.4804469273743024,-0.003983048389293346,-0.009595526756434195,0.003247338540283362,0.010065889017106403,0.06779081679795125
gentleness2most,2400,9,-0.4399999999999977,-0.005184279729193775,0.010144830791897097,-0.0007945808299881785,0.01920381567150224,0.0743249495847551
nonconsent1most,1078,16,-0.46382189239332305,-0.005552187041315178,0.004204046427830307,-0.0051021427447607666,0.01177785412722395,0.07183341978892654
powerdynamic2most,1922,18,-0.47346514047866606,0.012455997849044165,0.0006209282316578801,0.01876990406020692,0.023172108865542624,0.09392759498354064
toys2most,1778,21,-0.4555680539932503,0.03176764404586678,0.01441693356514051,0.02186481503584122,0.010118794117272789,0.08594288860829973
humiliation2most,566,21,-0.44876325088339186,0.01144529953205505,0.00607401573283269,0.02635614519179887,0.05091287974324739,0.11242835352619089
mentalalteration2most,460,10,-0.42173913043477995,-0.0101446486712027,0.006167545974266941,-0.015068835661420532,0.04030562006409126,0.10372956040443689
