cat_q,rarity,w,w_resid
How old were you when you first experienced sexual i,1.675978048444958,-0.06360051179396874,-0.10760607666701852
How old were you when you first experienced interest,0.830750582172063,-0.28471392720896294,-0.2809429350922851
How old were you when you first experienced sexual i,0.5778254770588214,0.09861671261468527,0.11668431857882908
How old were you when you first experienced interest,0.6495399308802479,-0.14162445787268263,-0.12761051772833878
How old were you when you first experienced interest,0.28727363279306156,0.029060466321925767,0.06355154087878526
How old were you when you first experienced sexual i,0.8357966005963963,0.06967634246672653,0.07316210794744987
How old were you when you first experienced interest,1.7359996118756815,0.11688592192657757,0.06948763289312448
How old were you when you first experienced sexual i,0.917129631029603,0.06083679881716346,0.059725207587776344
How old were you when you first experienced interest,0.5720941454600976,0.0756099841911187,0.09400155417877076
How old were you when you first experienced interest,1.8663984969789025,-0.005547822502047712,-0.060316920003193816
How old were you when you first experienced sexual i,1.0417549371503354,0.2124322076841068,0.20427616004762392
How old were you when you first experienced sexual i,0.5730089539858743,0.20341793459482488,0.22175779494996917
How old were you when you first experienced sexual i,1.4227504030808782,0.049011985813277585,0.019320135902024086
How old were you when you first experienced sexual i,1.614806097883142,0.10968271386796243,0.06913489888924204
How old were you when you first experienced sexual i,0.8700009034616624,0.05595793741345517,0.057510301661558516
How old were you when you first experienced interest,1.6170784572443202,0.1979046323507774,0.15722837205898738
How old were you when you first experienced interest,1.6842854690148141,0.19087141816671319,0.1463962756141264
How old were you when you first experienced interest,0.6196106896642877,0.06990388121133685,0.0856095743519705
How old were you when you first experienced interest,2.190602675225875,0.19219549785909193,0.11910073062240589
How old were you when you first experienced interest,2.208055125177101,-0.08349848063374611,-0.15757974914136447
How old were you when you first experienced interest,1.3200962490207948,-0.3522683873694414,-0.37615770217933275
How old were you when you first experienced interest,2.9529899155078705,0.07346039599862747,-0.04272837715600375
How old were you when you first experienced interest,1.5102240953047295,0.19561234911252517,0.16097604104249552
How old were you when you first experienced sexual i,1.6650077635889111,0.23124334783890524,0.1878578792837492
How old were you when you first experienced interest,3.4104642075268545,0.2739695040677592,0.13192195625645642
How old were you when you first experienced interest,2.4649181175039097,-0.15016831064544794,-0.23876878242217958
How old were you when you first experienced sexual i,1.108074446108779,0.18231399964482684,0.17040923592218113
How old were you when you first experienced interest,3.198318410422186,0.09539483715723278,-0.03466115078416164
How old were you when you first experienced interest,3.649852270619679,0.02799277450395823,-0.12758620466208737
How old were you when you first experienced interest,0.43525356969366025,-0.3210543775117055,-0.29492788192415403
At what age did you begin watching porn or reading e,0.11448267606115183,-0.4034835195152169,-0.3592254209074065
