target,side,n,before,after,retained,sd
羞耻,位置 S,6717,0.11852284120046407,0.11185542180143371,0.9437457005628697,0.012554664648327963
羞耻,内容 C,6717,0.04254253015717339,0.04248812647725066,0.9987211931278714,0.011520603255713175
animated,位置 S,6479,0.11928006613920952,0.1083066394916582,0.9080028457165303,0.011957289176149733
animated,内容 C,6479,-0.041262581125628035,-0.03305544244074793,0.8010997261685434,0.011932226981649923
written,位置 S,6478,0.008664462368715244,0.046471150647697614,5.363419987314031,0.012294762938333668
written,内容 C,6478,-0.054526826289585766,-0.016903820204148552,0.3100092441539562,0.013630460757895735
biomale,位置 S,6717,0.09898858011999605,-0.021291208446439915,-0.21508752242561982,0.011998364073640033
biomale,内容 C,6717,0.1212210223542333,-0.012624908627787555,-0.10414784814217223,0.012784786197810673
