v_split,qa,qb,obsa,obsb,n,both,either
1,0.65,0.575,0.0018250124670802226,0.001932944017835725,3357,False,False
2,0.6,0.875,0.001997726285410839,0.0035920049274620336,3357,False,False
3,0.425,0.9,0.0013809540560181244,0.0036667889714820934,3357,False,True
4,0.95,0.875,0.0028198350696300167,0.0028570795112331515,3357,False,True
5,0.475,0.95,0.001320008726515054,0.0033454229065525976,3357,False,True
6,1.0,0.25,0.0038473132510914443,0.001014089487932468,3357,False,True
7,0.6,0.95,0.0015865131295365043,0.004249472793700693,3357,False,True
8,0.8,0.775,0.0022157450767216202,0.002201835107158656,3357,False,False
