half,rel,beta_alone,sd_alone,beta_joint,sd_joint
早,0.516326370047473,0.18223288568522358,0.008756295136307534,0.1306517968691724,0.013719431527406
晚,0.39490579663522096,0.10786054098575043,0.014964846961629114,0.07877634184008951,0.015739646165954618
