v_page,v_val,v_kind,v_win
README.md,1.80,孤立,100
README.md,0.714,可核而未核,100
README.md,+0.779,可核而未核,100
README.md,+2.192,孤立,100
README.md,+1.841,孤立,100
README.md,0.409,可核而未核,100
README.md,0.410,可核而未核,100
README.md,0.331,孤立,100
README.md,0.813,孤立,100
README.md,0.456,孤立,100
README.md,0.536,可核而未核,100
README.md,0.42,孤立,100
README.md,7.68,孤立,100
README.md,8.54,孤立,100
README.md,1.128,孤立,100
README.md,0.181,可核而未核,100
README.md,0.321,孤立,100
README.md,0.222,孤立,100
README.md,0.435,孤立,100
README.md,0.230,孤立,100
README.md,85.1%,孤立,100
README.md,0.9194,可核而未核,100
README.md,0.7875,可核而未核,100
README.md,87.8%,孤立,100
README.md,0.542,孤立,100
README.md,87.8%,孤立,100
README.md,0.0001,孤立,100
README.md,+0.2078,可核而未核,100
README.md,+0.0655,可核而未核,100
README.md,0.38,孤立,100
README.md,0.0305,孤立,100
README.md,1.9%,可核而未核,100
README.md,1.9%,孤立,100
README.md,9.1%,孤立,100
README.md,4.8,孤立,100
README.md,5.8%,可核而未核,100
README.md,0.7352,可核而未核,100
README.md,0.7287,孤立,100
README.md,−0.248,可核而未核,100
README.md,"12,151",原始量,100
README.md,61.0%,孤立,100
README.md,0.7287,孤立,100
README.md,0.5965,孤立,100
README.md,47.1%,孤立,100
README.md,49.0%,孤立,100
README.md,33.1%,孤立,100
README.md,62.4%,孤立,100
README.md,28.7%,孤立,100
README.md,62.6%,孤立,100
README.md,62.6%,孤立,100
README.md,90.6%,孤立,100
README.md,33.1%,孤立,100
README.md,87.7%,孤立,100
README.md,12.1%,孤立,100
README.md,+0.6426,可核而未核,100
README.md,−0.1295,可核而未核,100
README.md,0.6462,可核而未核,100
README.md,+0.7005,可核而未核,100
README.md,63.6%,可核而未核,100
README.md,26.5%,可核而未核,100
README.md,+0.0783,孤立,100
README.md,+0.0046,孤立,100
README.md,+0.0060,孤立,100
README.md,−0.1685,孤立,100
README.md,+0.4194,孤立,100
README.md,+0.5001,孤立,100
README.md,94.9%,孤立,100
README.md,60.6%,可核而未核,100
README.md,+0.1910,孤立,100
README.md,98.0%,孤立,100
README.md,97.2%,孤立,100
README.md,97.2%,可核而未核,100
README.md,+0.3030,孤立,100
README.md,+0.6838,孤立,100
README.md,0.750,孤立,100
README.md,0.000,可核而未核,100
README.md,+0.0725,孤立,100
README.md,+0.5987,孤立,100
README.md,+0.4809,可核而未核,100
README.md,−0.0138,可核而未核,100
README.md,0.335,可核而未核,100
README.md,0.0299,可核而未核,100
README.md,0.0592,可核而未核,100
README.md,+0.202,可核而未核,100
README.md,0.0191,可核而未核,100
README.md,0.2021,可核而未核,100
README.md,−0.00025,孤立,100
README.md,+0.142,孤立,100
README.md,+0.273,孤立,100
README.md,+0.212,孤立,100
README.md,+0.314,孤立,100
README.md,−0.0020,孤立,100
README.md,0.4154,孤立,100
README.md,0.3452,孤立,100
README.md,0.416,可核而未核,100
README.md,0.346,可核而未核,100
README.md,+0.57,孤立,100
README.md,−0.0535,可核而未核,100
README.md,0.2581,可核而未核,100
README.md,0,孤立,100
README.md,0,孤立,100
README.md,68,孤立,100
README.md,201,可核而未核,100
README.md,17.3,可核而未核,100
README.md,0.36,孤立,100
README.md,1.0,可核而未核,100
README.md,2.8%,可核而未核,100
README.md,0.14%,可核而未核,100
README.md,49%,可核而未核,100
README.md,0.869%,孤立,100
README.md,+0.609,孤立,100
README.md,+0.892,孤立,100
README.md,+0.432,孤立,100
README.md,+0.6785,孤立,100
README.md,+0.7826,可核而未核,100
README.md,+0.4290,孤立,100
README.md,+0.6429,孤立,100
README.md,+0.5778,孤立,100
README.md,+0.5631,孤立,100
README.md,−0.1086,孤立,100
README.md,+0.1286,孤立,100
README.md,20,孤立,100
README.md,59.6%,可核而未核,100
README.md,18.9%,孤立,100
README.md,28.9%,可核而未核,100
README.md,37.1%,孤立,100
README.md,28.2%,孤立,100
README.md,−0.00042,可核而未核,100
README.md,+0.5316,孤立,100
README.md,+0.3382,孤立,100
README.md,+0.0454,可核而未核,100
README.md,−0.1229,孤立,100
README.md,+0.9039,可核而未核,100
README.md,−0.2270,孤立,100
README.md,84.3%,孤立,100
README.md,−18.5%,孤立,100
README.md,0.146,可核而未核,100
README.md,0.292,可核而未核,100
README.md,0.45,孤立,100
README.md,+0.074,孤立,100
README.md,0.139,可核而未核,100
README.md,0.383,孤立,100
README.md,0.700,孤立,100
README.md,0.718,孤立,100
README.md,1.077,孤立,100
README.md,1.034,孤立,100
README.md,−0.0150,可核而未核,100
README.md,+0.1502,可核而未核,100
README.md,10%,孤立,100
README.md,54.8%,可核而未核,100
README.md,−0.0833,可核而未核,100
README.md,+0.0135,可核而未核,100
README.md,−0.0387,可核而未核,100
README.md,−0.003221,孤立,100
README.md,+0.0888,孤立,100
README.md,+0.1159,可核而未核,100
README.md,−0.4502,孤立,100
README.md,−0.1866,孤立,100
README.md,−0.0259,孤立,100
README.md,+0.0827,可核而未核,100
README.md,+0.0657,可核而未核,100
README.md,+0.2395,孤立,100
README.md,+0.0657,孤立,100
README.md,+0.0932,孤立,100
README.md,0.1187,孤立,100
README.md,+0.1038,孤立,100
README.md,+0.0661,孤立,100
README.md,+0.0005,孤立,100
README.md,11.55%,可核而未核,100
README.md,"1,790",原始量,100
README.md,+0.24,孤立,100
README.md,−0.16,孤立,100
README.md,1.54,孤立,100
README.md,2.73,孤立,100
README.md,+0.124,孤立,100
README.md,+0.018,孤立,100
README.md,0.662,可核而未核,100
README.md,21,可核而未核,100
README.md,8,可核而未核,100
