qi,cat,relationality,sham,words,n_opt,prevalence,mean_onset,n
4,secretions,0.0,0.0,1.4285714285714286,14,0.1853189705218345,16.150810065494657,2901
13,sadomasochism,0.0,0.0,1.5263157894736843,19,0.3302586596142682,16.782184020316468,5119
16,gentleness,0.0,0.0,1.6,10,0.5645358962781397,16.051205852097382,8749
17,genderswapped,0.2,0.0,2.7,10,0.07437270205766626,16.534224011713032,2732
19,multiplepartners,0.21052631578947367,0.0,2.526315789473684,19,0.3997935883377411,16.74031633311814,6196
29,roles,0.0,0.0,1.0,22,0.4190156743856028,15.745881447267129,6495
36,sensory,0.0,0.0,1.7083333333333333,24,0.18557698509965814,17.299617657281892,2877
39,transform,0.0,0.0,2.75,12,0.11172031219763917,15.817474048442907,1734
42,abnormalbody,0.2777777777777778,0.0,3.388888888888889,18,0.10984970650841773,15.766725352112676,1704
48,mentalalteration,0.0,0.0,1.3,10,0.18912468554473327,16.954142516195024,2933
51,bestiality,0.045454545454545456,0.0,1.1363636363636365,22,0.08501580339289169,15.60773899848255,1318
53,clothing,0.045454545454545456,0.0,1.4090909090909092,22,0.5221570018706057,14.699456588860071,8097
61,eagerness,0.0,0.0,4.222222222222222,9,0.7503708959556215,16.200653370013754,11632
62,humiliation,0.047619047619047616,0.0,2.3333333333333335,21,0.22086047861704186,16.495035046728972,3424
67,nonconsent,0.0,0.0,2.5,16,0.3527059278849255,16.523583180987202,5470
73,mythical,0.05,0.0,1.45,20,0.24098561568728633,15.365400053518865,3737
77,toys,0.0,0.0,1.9523809523809523,21,0.5380894020512159,16.66480882176675,8343
79,appearance,0.09090909090909091,0.09090909090909091,1.7272727272727273,11,0.6471650648261627,13.976325757575758,10032
81,objects,0.05263157894736842,0.0,1.368421052631579,19,0.19770367025736954,15.739137483787289,3084
