seed,onset,prevalence,onset_minus_prev,oracle,sham_noptions,random
1,66.63681948424069,60.304368919643544,65.70302568014239,66.28428673396553,54.66182933663688,53.33316318717779
2,66.74653475550059,60.56,66.0541262946876,66.22506314758493,54.41290708096803,52.86182259021383
3,66.77532725513167,60.778912252325114,65.2567441154906,66.9120623355596,54.12666255615256,48.13928016505769
4,66.94567115127863,60.74570376432079,65.44906508633902,67.00975497350026,54.113942850353475,54.50304621580973
5,66.4671116319356,61.13767097021603,65.58656396009597,66.50468145735803,55.13283237678244,55.814308232063865
