nperm,thr,thr_lo,thr_hi
400,2.358249672544752,2.3226254620763256,2.434171908911774
1000,2.2969914913863874,2.3226254620763256,2.434171908911774
2000,2.342990408398345,2.3226254620763256,2.434171908911774
4000,2.3837175491732516,2.3226254620763256,2.434171908911774
