focal,share,sh_lo,sh_hi,indirect,ind_thr
色情使用量,-0.3982316448962916,-3.591930608959032,2.1567102390999224,-0.004871138933659027,0.0016955134262444688
冷门程度 S,-0.0809675849319391,-0.12406671338065996,-0.047516837718335446,-0.006848278960118976,0.0018569276605882913
常规也管用(−五题),0.07199033187358321,0.04165754809070658,0.11852918803464187,0.005171382699477744,0.002042314914654019
广度型 c3⁻,0.2013415968196203,0.11573653106874461,0.49497537276344616,-0.006947387530103529,0.0020257982475006438
类别数,-0.0857325141256359,-0.6919940168395368,1.3746679457601627,-0.001217801504305139,0.0018915536285702222
