v_arm,v_n,v_b,v_se,v_thr,v_mde,v_bp,v_bn,v_ordmean,v_nulsd,v_nulmean
窄(参照臂:覆盖≥8 · 类别≥8),6473,-0.03273065675022845,0.012338321284384385,0.024916239956991267,0.04,0.12115996750011736,0.00873161122686545,0.22194841531004006,0.012545195787933784,-0.0011682775711869837
宽(覆盖≥4 · 类别≥6),11535,-0.028731066068683243,0.00917850446160865,0.0173915640545501,0.025,0.107208810687307,-0.0038437456033425218,0.21825760387412277,0.00936252143889057,-0.0006382909204421504
