q,K,seed,n,m,full,I,P,X,I_share,P_share,X_share
1,1,11,15250,16,0.319928017235234,0.24409060988196313,0.08426249542250942,-0.008425088069238565,0.7433784116511547,0.25662158834884535,-0.025658621566640033
1,1,29,15250,16,0.3172541188641935,0.2414105264604975,0.08111027710409664,-0.005266684700400629,0.7485114876074902,0.2514885123925098,-0.0163297518863642
1,1,47,15250,16,0.3045984000840398,0.24467992708853456,0.07533435130781768,-0.015415878312312448,0.76459065612531,0.23540934387469006,-0.048172470270902046
1,2,11,15250,16,0.30245911718754037,0.24317067164202175,0.08807972751200852,-0.028791281966489907,0.7340992562214189,0.2659007437785811,-0.08691697290031661
1,2,29,15250,16,0.29794506675452936,0.240503879684682,0.08448904364328508,-0.02704785657343772,0.7400280511399848,0.2599719488600151,-0.0832259862659912
1,2,47,15250,16,0.2894849950135845,0.24362121266801676,0.07844030522701648,-0.03257652288144876,0.7564430990088612,0.24355690099113878,-0.10115000107546579
1,4,11,15250,16,0.2398425109432074,0.2410288099103405,0.09547415368394843,-0.09666045265108154,0.7162754447563837,0.2837245552436163,-0.2872499297439235
1,4,29,15250,16,0.23111052865815995,0.2384850770861529,0.09219621543819773,-0.09957076386619068,0.7211931321110081,0.27880686788899195,-0.30110794325886614
1,4,47,15250,16,0.2310130855820891,0.241257582886298,0.08780948452667808,-0.09805398183088701,0.7331562674532909,0.26684373254670907,-0.29797567590630447
1,8,11,15250,16,0.10621350091847881,0.23835624296766453,0.09845766499073452,-0.23060040703992024,0.7076793366772273,0.2923206633227727,-0.6846522711538456
1,8,29,15250,16,0.09333172401625756,0.2349113696744327,0.09402525826454801,-0.23560490392272318,0.7141538816954428,0.28584611830455725,-0.7162622946521754
1,8,47,15250,16,0.09425372902381668,0.23784204885071975,0.09020320735552766,-0.23379152718243074,0.7250281610570969,0.2749718389429031,-0.712680713283786
4,1,11,2897,14,0.3482624751720721,0.26378593211455903,0.04604511124029409,0.038431431817218975,0.7574342655901292,0.13221381722950135,0.11035191718036946
4,1,29,2897,14,0.31774467387304317,0.25584237395824433,0.039705978195879156,0.022196321718919644,0.8051822579423242,0.12496190010644811,0.06985584195122754
4,1,47,2897,14,0.349491629598239,0.279682778266542,0.03205217351834484,0.03775667781335214,0.8002560135361574,0.09171084742484588,0.10803313903899686
4,2,11,2897,14,0.3146050145418259,0.25392027674895407,0.05346107789397735,0.007223659898894452,0.8071081674230468,0.169930787568136,0.022961045008817196
4,2,29,2897,14,0.27885817628557297,0.24545236143247012,0.04721778673878466,-0.013811971885681857,0.8386655180454025,0.16133448195459743,-0.04719296440715175
4,2,47,2897,14,0.30280011477348956,0.27346257353467596,0.038379707232490526,-0.009042165993676946,0.8769259026131024,0.12307409738689765,-0.028995959019515308
4,4,11,2897,14,0.2833664897336067,0.24977067125416624,0.05098317336103311,-0.01738735488159273,0.8304820560938673,0.16951794390613267,-0.05781257727175207
