outcome,arm,s1,s4,steep,rho,p_one_sided,mono
能不能改,不控另一结局,-0.05969174057174674,0.06795149678487142,0.12764323735661814,1.0,0.041,True
能不能改,**控另一结局**,-0.06010721028999481,0.06837441735504336,0.12848162764503818,1.0,0.04533333333333334,True
羞耻,不控另一结局,0.07260848681779372,-0.07391061561307292,-0.14651910243086663,-1.0,0.03933333333333333,True
羞耻,**控另一结局**,0.07295040929608484,-0.0742998511079962,-0.14725026040408104,-1.0,0.042666666666666665,True
