v_item,v_b,v_se,v_thr,v_over
"""I find dirtytalking erotic"" (947wne3)",0.09006058861376195,0.012184538981084635,0.02569303635337374,True
normalsex,0.08527140514530786,0.012226167583682961,0.023797030879730285,True
"""I find blowjobs:"" (yuc275j)",0.06877364576729005,0.012313446857782927,0.0240819020468217,True
cunnilingus,0.064050821924285,0.012390481237909066,0.02375662180769155,True
"""I find cunnilingus:"" (jn2b355)",0.0632773116069688,0.012365780074486367,0.023673528442719062,True
