outcome,k,n,b_common,b_uncommon,diff,lo,hi,sig
**能不能改(本轮)**,8,6204,0.013914135529692626,-0.06921686373028882,-0.08313099925998145,-0.11469174724123882,-0.051687825082980886,True
**能不能改(本轮)**,10,6707,0.014429267565013634,-0.05719815955768638,-0.07162742712270001,-0.10038731987617809,-0.04400444601217068,True
**能不能改(本轮)**,12,6712,-0.011805019529622806,-0.05805131021656736,-0.04624629068694456,-0.0762194109566457,-0.01906321627062463,True
**能不能改(本轮)**,14,6712,-0.0058526121939382,-0.0506440092999252,-0.044791397105987,-0.07533825997313942,-0.012489349675399896,True
羞耻(参照),8,6204,0.08144192275899602,0.007142808946449755,-0.07429911381254627,-0.10404815909646344,-0.048469163885274155,True
羞耻(参照),10,6707,0.07964912558673361,0.0017767579896726983,-0.07787236759706091,-0.10869372057958657,-0.048437582661692985,True
羞耻(参照),12,6712,0.07647927252024288,0.015231112789858501,-0.061248159730384374,-0.09144386542362364,-0.03377102455629345,True
羞耻(参照),14,6712,0.07194567739763183,0.01385938863421831,-0.05808628876341352,-0.09264239327796829,-0.026494838139834956,True
