group,k,n,b,mde,thr,sig
常见领域,6,1435,-0.054795772575200005,0.049401620463615646,0.04675326588624803,True
罕见领域(对照),6,2922,0.04597116560560618,0.03479410699337712,0.03401688979452114,True
常见领域,8,2153,-0.03858338533407057,0.04133668921467896,0.043405113663409316,False
罕见领域(对照),8,4201,0.057368262220921444,0.03127476315584628,0.029425582852351233,True
常见领域,10,4443,0.03982790382999671,0.030661426209019748,0.03157154680801422,True
罕见领域(对照),10,5626,0.09415017879795694,0.025907218013245158,0.025841906825532474,True
常见领域,12,5605,0.07551745021183921,0.028077798907352302,0.029533627209526302,True
罕见领域(对照),12,6242,0.10049481739126469,0.0227521362232076,0.023056204724172802,True
