arm,sex,rnd,sd,delta
S,0.664935724416639,0.8774253158612701,0.018775953355403833,-0.2124895914446312
Nq,0.699296108785684,0.8615896030245116,0.02286269397085235,-0.16229349423882755
S⊥Nq,0.736711787960918,0.895773381589486,0.011255616504681256,-0.1590615936285681
S+Nq,0.7168229018778924,0.8825274978503611,0.025859972152178015,-0.16570459597246867
