arm,sex,rnd,sd,delta
原样,0.664935724416639,0.8774253158612701,0.018775953355403833,-0.2124895914446312
偏出结局侧,0.7051711444903989,0.8783461239849797,0.019320181213980228,-0.17317497949458083
