k,seed,half,n,r
6,0,A,2764,0.34799346273309206
6,0,B,3080,-0.0946509340885329
6,1,A,1943,0.27336446028409184
6,1,B,9128,0.4648115660719151
6,2,A,2881,0.21489705314075444
6,2,B,1812,0.1906231012076795
8,0,A,1363,0.21085242764333498
8,0,B,4534,0.606885504478577
8,1,A,2277,0.3857164117169561
8,1,B,1914,0.42761926464183525
8,2,A,2904,0.4153329971552132
8,2,B,2034,0.1927874904870158
