arm,n_keep,n_used,mean_rho,r_age,sd
全部起始年龄,9944,9944,-0.032817165356653744,0.15321693750745768,0.010083477241578985
仅 onset ≤ 14,2806,2806,0.005508310405312034,-0.07406009597747361,0.018125463083789234
负对照:人内跨人置换(全样本),9944,9944,0.0025904480586405945,0.012844339187193722,0.01025024086458643
