half,n,delta,sd,rel,null_delta
≤14,4284,0.0012464894901477205,0.0056211499075147905,0.09843891078789854,0.0160217460386223
>14,7281,-0.07041332645509091,0.005177180590349781,0.22826506139174563,-0.021406369814192937
