v_name,v_d,v_t
S 位置,-0.308079305285439,-10.167515601420767
D 块间对比,-0.06665287733071551,-2.185484365458409
c1,0.14461059449137692,4.747862458492145
c2,0.07653827439476972,2.5115727440842033
c3⁻,-0.16769653079768598,-5.540652186998248
清晰度,-0.08857515139713705,-2.877078620582194
五题(常规不色),0.17057216164960742,5.627597825295399
EARLY 平均起始,0.1615733674073021,5.332112903819767
_thr,,2.7309503637434025
_cons,0.5,0.7562499999999943
_n,1662.0,3054.0
