v_k,v_b0,v_b1,v_diff,v_t,v_thr,v_n
平均起始,-0.13270631743125574,-0.06808110859222656,0.06462520883902918,3.6907904994180707,2.1870463223260073,12720
中位起始,-0.12417660503564083,-0.06266022253442204,0.0615163825012188,3.506763734403062,2.2494606711615974,12720
最早起始,-0.0965124448590638,-0.04939175569494114,0.04712068916412265,2.6244257745906103,2.2481943897745826,12720
