world,q,Kc,seed,arm,C
real,13,5,11,real,0.014585508551753223
real,13,5,11,perm,-0.0004969131089443968
real,13,5,29,real,0.014469900986988637
real,13,5,29,perm,-0.0002863318976739082
real,13,8,11,real,0.01687297792002107
real,13,8,11,perm,-0.0006621495020666668
real,13,8,29,real,0.01779338299392419
real,13,8,29,perm,-0.0005378791458906518
real,13,12,11,real,0.023807739872934053
real,13,12,11,perm,-0.0009015737992889017
real,13,12,29,real,0.022519988109791722
real,13,12,29,perm,-0.0005323975784982116
real,13,16,11,real,0.027274622487031164
real,13,16,11,perm,-0.00107179320579609
real,13,16,29,real,0.026629875405627557
real,13,16,29,perm,-0.000510385396006674
real,13,24,11,real,0.031138651541579465
real,13,24,11,perm,-0.001492390075003791
real,13,24,29,real,0.03140108777974171
real,13,24,29,perm,-0.0012313573746003392
real,13,32,11,real,0.03394074325287211
real,13,32,11,perm,-0.001871528077014517
real,13,32,29,real,0.03369067247787594
real,13,32,29,perm,-0.0018288937442364483
real,17,1,11,real,0.012955266370808682
real,17,1,11,perm,0.0010194151095775927
real,17,1,29,real,0.011901245904899604
real,17,1,29,perm,-0.0008668467971656435
real,17,2,11,real,0.01790553979583953
real,17,2,11,perm,0.0003567810842830532
real,17,2,29,real,0.017280532611808952
real,17,2,29,perm,-0.0026554398234494014
real,17,3,11,real,0.019666807394528196
real,17,3,11,perm,0.0016327350370062277
real,17,3,29,real,0.01993836095637347
real,17,3,29,perm,-0.00413761775307564
real,17,5,11,real,0.02619040181687149
real,17,5,11,perm,0.0024751849818377414
real,17,5,29,real,0.020087567385062344
real,17,5,29,perm,-0.00492373413844982
real,17,8,11,real,0.032361702985122864
real,17,8,11,perm,0.002330842148232315
real,17,8,29,real,0.026667604279131174
real,17,8,29,perm,-0.007308139847093109
real,17,12,11,real,0.031121299611079567
real,17,12,11,perm,0.0037381626735040197
real,17,12,29,real,0.027559833475559348
real,17,12,29,perm,-0.010050548120817848
real,17,16,11,real,0.03814934703571471
real,17,16,11,perm,0.0023027629515779413
real,17,16,29,real,0.030922110195349184
real,17,16,29,perm,-0.010396293906171805
real,17,24,11,real,0.04233949369973744
real,17,24,11,perm,-0.006484331953083178
real,17,24,29,real,0.03797837330580289
real,17,24,29,perm,-0.014107790558192779
real,17,32,11,real,0.03733813648529438
real,17,32,11,perm,-0.006404664112737546
real,17,32,29,real,0.042750142577128725
real,17,32,29,perm,-0.013392783918265372
real,19,1,11,real,0.010009030609767655
real,19,1,11,perm,-0.00025746902983181386
real,19,1,29,real,0.009824932664292851
real,19,1,29,perm,-6.9687095333170745e-06
real,19,2,11,real,0.015457170521986474
real,19,2,11,perm,-0.00022808147676744994
real,19,2,29,real,0.014356505782342488
real,19,2,29,perm,-8.656437098686354e-06
real,19,3,11,real,0.020828251744176463
real,19,3,11,perm,-0.0006030653918258633
real,19,3,29,real,0.018918535479743648
real,19,3,29,perm,-0.0004690675699754454
real,19,5,11,real,0.024737888688877163
real,19,5,11,perm,-0.0005324019830272864
real,19,5,29,real,0.023133472370264196
real,19,5,29,perm,-0.0015236516264451883
real,19,8,11,real,0.03106111541202572
real,19,8,11,perm,-0.0005770718662785335
real,19,8,29,real,0.03060677202069817
real,19,8,29,perm,-0.0019781023380939233
real,19,12,11,real,0.03947797410020848
real,19,12,11,perm,-0.0004761092702937342
real,19,12,29,real,0.03978832421952838
real,19,12,29,perm,-0.00277000301819752
real,19,16,11,real,0.04434419780108234
real,19,16,11,perm,-0.0006533977552332093
real,19,16,29,real,0.04341836734565496
real,19,16,29,perm,-0.0031218184885885014
real,19,24,11,real,0.05034950626191126
real,19,24,11,perm,-0.0023752705386621553
real,19,24,29,real,0.051155449749683446
real,19,24,29,perm,-0.0039686881950043995
real,19,32,11,real,0.05185874596946416
real,19,32,11,perm,-0.005342060382222846
real,19,32,29,real,0.054185655300562074
real,19,32,29,perm,-0.006085059734261766
real,29,1,11,real,0.007885147517374125
real,29,1,11,perm,-0.00038298911502343547
real,29,1,29,real,0.00805818935502689
real,29,1,29,perm,-2.3552510722502085e-05
real,29,2,11,real,0.021607716296753288
real,29,2,11,perm,-0.000684491361303774
real,29,2,29,real,0.021825964520622132
real,29,2,29,perm,-1.1592289034800807e-05
real,29,3,11,real,0.025092126476027987
real,29,3,11,perm,-0.0005297151982960324
real,29,3,29,real,0.02356242199295544
real,29,3,29,perm,-4.3897529749870046e-05
real,29,5,11,real,0.02891220842723552
real,29,5,11,perm,-0.0008339015105441883
real,29,5,29,real,0.026056545847714108
real,29,5,29,perm,-0.00043049220175805925
real,29,8,11,real,0.034530933833383015
real,29,8,11,perm,-0.0009747059238006672
real,29,8,29,real,0.03170893592179069
real,29,8,29,perm,-0.0006028042270791456
real,29,12,11,real,0.04056949073812899
real,29,12,11,perm,-0.0017396788504996374
real,29,12,29,real,0.03668033002845805
real,29,12,29,perm,-0.0011944482503187803
real,29,16,11,real,0.04242591445435262
real,29,16,11,perm,-0.001911169546581104
real,29,16,29,real,0.03871271996419323
real,29,16,29,perm,-0.001722445460480726
real,29,24,11,real,0.04659626981655507
real,29,24,11,perm,-0.0031476008117830023
real,29,24,29,real,0.04220847238541525
real,29,24,29,perm,-0.0032048674539468802
real,29,32,11,real,0.04825165422947586
real,29,32,11,perm,-0.003268284666243071
real,29,32,29,real,0.042864369798430335
real,29,32,29,perm,-0.004101880683189729
real,39,1,11,real,0.009259306059818173
real,39,1,11,perm,2.439562891343172e-05
real,39,1,29,real,0.00999626569516554
real,39,1,29,perm,-2.9043962537000922e-05
real,39,2,11,real,0.00986896316391106
real,39,2,11,perm,-0.000374558241318268
real,39,2,29,real,0.011155647011186764
real,39,2,29,perm,-0.0018656223358369806
real,39,3,11,real,0.01564340111935425
real,39,3,11,perm,-0.001476752281212912
real,39,3,29,real,0.013296689000636963
real,39,3,29,perm,-0.001579157705851597
real,39,5,11,real,0.01798537374934439
real,39,5,11,perm,-0.0026018240592755593
real,39,5,29,real,0.016193427311180897
real,39,5,29,perm,-0.0015877477120462835
real,39,8,11,real,0.020292939382749897
real,39,8,11,perm,-0.003250845806965552
real,39,8,29,real,0.023355232440843365
real,39,8,29,perm,-0.0029868190194857203
real,39,12,11,real,0.033112752724337224
real,39,12,11,perm,-0.00483661849228012
real,39,12,29,real,0.03426893870613379
real,39,12,29,perm,-0.0027501533475142725
real,39,16,11,real,0.04387583991910515
real,39,16,11,perm,-0.007554729820561601
real,39,16,29,real,0.04836010110495004
real,39,16,29,perm,-0.0037131430790043884
real,39,24,11,real,0.044015325518839465
real,39,24,11,perm,-0.009370659994580421
real,39,24,29,real,0.05308347744526576
real,39,24,29,perm,-0.008675546246993293
real,39,32,11,real,0.046695274642922446
real,39,32,11,perm,-0.008988581342831536
real,39,32,29,real,0.05466443233418894
real,39,32,29,perm,-0.011854596094714065
real,42,1,11,real,0.011467242778482434
real,42,1,11,perm,0.0009526276298631453
real,42,1,29,real,0.013914677711507673
real,42,1,29,perm,-0.0005371526112418756
real,42,2,11,real,0.014453609546172808
real,42,2,11,perm,0.0002616679445712755
real,42,2,29,real,0.019075639175797354
real,42,2,29,perm,-0.0023028666297686406
real,42,3,11,real,0.019727186748485392
real,42,3,11,perm,5.268707016636842e-05
real,42,3,29,real,0.02097877698528805
real,42,3,29,perm,-0.0030033992742225513
real,42,5,11,real,0.024313461419464666
real,42,5,11,perm,-0.0005376836624639836
real,42,5,29,real,0.026223966513205466
real,42,5,29,perm,-0.0057621720819889255
real,42,8,11,real,0.031914373863960344
real,42,8,11,perm,-0.0020347569134038235
real,42,8,29,real,0.03519595207743864
real,42,8,29,perm,-0.006732518686212607
real,42,12,11,real,0.04762145560294062
real,42,12,11,perm,-0.003229155482955215
real,42,12,29,real,0.05060401877000831
real,42,12,29,perm,-0.009824441933187988
real,42,16,11,real,0.04871669255357969
real,42,16,11,perm,-0.006353920765165277
real,42,16,29,real,0.05045824092676543
real,42,16,29,perm,-0.011847003820607327
real,42,24,11,real,0.0532211898928755
real,42,24,11,perm,-0.010276280679948013
real,42,24,29,real,0.05498381519822215
real,42,24,29,perm,-0.016245721293981497
real,42,32,11,real,0.05484253894616764
real,42,32,11,perm,-0.017901235282113404
real,42,32,29,real,0.05881786577280623
real,42,32,29,perm,-0.016490670972031163
real,48,1,11,real,0.014106011553244313
real,48,1,11,perm,0.00048705486202271775
real,48,1,29,real,0.02071285218797858
real,48,1,29,perm,0.00015215697653092608
real,48,2,11,real,0.016127481050750236
real,48,2,11,perm,-0.00012737488599379176
real,48,2,29,real,0.023037161925132943
real,48,2,29,perm,0.0003524310304614531
real,48,3,11,real,0.015900382936165136
real,48,3,11,perm,-0.0011060175190489296
real,48,3,29,real,0.02336276547288052
real,48,3,29,perm,0.0004581855813000635
real,48,5,11,real,0.01572320940341765
real,48,5,11,perm,-0.0006261391764302848
real,48,5,29,real,0.02382281811590281
real,48,5,29,perm,-0.00028504505993476315
real,48,8,11,real,0.01984306360131982
real,48,8,11,perm,-0.0011262256442873264
real,48,8,29,real,0.028361114107341656
real,48,8,29,perm,-0.0012355010789143472
real,48,12,11,real,0.03042166300126392
real,48,12,11,perm,-0.0023647897238587845
real,48,12,29,real,0.03335968437708403
real,48,12,29,perm,-0.0026223084940605323
real,48,16,11,real,0.03365701892452688
real,48,16,11,perm,-0.004323888755172978
real,48,16,29,real,0.037154719927610436
real,48,16,29,perm,-0.0031142036693168063
real,48,24,11,real,0.037883198614915736
real,48,24,11,perm,-0.006840081163679623
real,48,24,29,real,0.03980216199635034
real,48,24,29,perm,-0.004297019745659103
real,48,32,11,real,0.044795363881554695
real,48,32,11,perm,-0.00752708675057534
real,48,32,29,real,0.04680264237630749
real,48,32,29,perm,-0.003950375828588704
real,53,1,11,real,0.005579217081397192
real,53,1,11,perm,-0.0003008426018662469
