block,loading,coef,shift,shift_in_sd
11,0.2679519736321971,-0.016175265898395692,0.019359937686050446,1.8550222704985169
21,-0.1840758602491354,-0.027148983815230506,0.008386219769215632,0.803547237055368
13,-0.24434166752810804,-0.027216411195668488,0.008318792388777651,0.7970865090105688
16,0.31806669911572455,-0.04369999860803437,0.008164795023588231,0.7823308550070798
0,0.28672451442345503,-0.043055668107304025,0.0075204645228578865,0.7205926692856728
20,-0.26284730631645997,-0.02854870070187976,0.00698650288256638,0.6694297600658583
27,0.17892573120832278,-0.042499117055446345,0.006963913471000206,0.6672652974414305
10,0.15210374818373906,-0.042329545357990606,0.006794341773544467,0.6510173486965704
26,0.36337820246211355,-0.041093005258635386,0.005557801674189247,0.5325350756714275
28,-0.15606616848837562,-0.030345663412355416,0.005189540172090723,0.4972491517785928
6,-0.03889316591528624,-0.0307635268207464,0.004771676763699738,0.45721049353692833
9,0.23083451453626863,-0.03154900524642796,0.003986198338018179,0.381947856008643
17,0.006366410739268122,-0.03211280454712686,0.003422399037319279,0.3279259745414557
30,0.06228143218630681,-0.03255930962152201,0.0029758939629241296,0.2851429413351865
15,-0.10027969060022612,-0.03257280039792586,0.0029624031865202807,0.2838502878627795
5,-0.2695580891553709,-0.03825766032496497,0.002722456740518832,0.2608592014100389
4,-0.06756254593006249,-0.03811486415960628,0.0025796605751601392,0.2471768192052125
7,-0.09033362240790667,-0.033811756076040235,0.0017234475084059037,0.1651365599400515
29,-0.07023696002746821,-0.03381504741091905,0.001720156173527089,0.16482119221527472
1,-0.15573975885499278,-0.03700811797776645,0.0014729143933203126,0.14113108453420836
19,-0.04206062734569217,-0.034064335251430156,0.001470868333015983,0.14093503599867774
3,0.0023781902070475354,-0.03678274145001659,0.0012475378655704486,0.11953605230820767
2,-0.11166921560332153,-0.03669934262328305,0.0011641390388369144,0.11154497901897777
31,0.0615414734671617,-0.03438653162790739,0.001148671956538748,0.11006296070941443
25,-0.13914911361442442,-0.03464090226570803,0.0008943013187381055,0.08568978318513455
23,0.06491612412972766,-0.035140070565767276,0.0003951330186788629,0.03786068743324194
12,-0.25366973540769494,-0.03517542187409077,0.00035978171035536827,0.034473410816200284
14,-0.1649959477011717,-0.03528859913634162,0.00024660444810451626,0.023629040064911365
8,0.05992699916849989,-0.03534126145982205,0.00019394212462409133,0.018583063964338772
22,0.14429261133159632,-0.035376223057614654,0.00015898052683148423,0.015233128465102736
18,-0.1670976400422852,-0.03543813419638896,9.706938805718185e-05,0.009300953316573908
24,-0.041681304842854476,-0.03550281283632119,3.2390748124951074e-05,0.003103602919816534
