quantity,b_羞耻,b_能不能改,sig_羞耻,sig_能不能改,pushes
冷门程度 S,0.07869515149991729,-0.08578926242198807,True,True,两个
广度型 c3⁻,0.08236246713438117,-0.02974315293466209,True,False,只推羞耻
常规也管用(−五题),-0.06598127257586894,-0.1267776328368799,True,True,两个
答题类别数,0.010172547901545427,-0.03537641022762402,False,True,只推能不能改
色情使用量,0.059256283157952845,-0.016291293951704797,True,False,只推羞耻
起始年龄(晚),-0.05823488116153856,0.0496109988506986,True,True,两个
