arm,slope,se,g
real,-0.19995666369039086,0.010081538133395337,
rating shuffled within category,-0.0003511251660653014,0.009569453726749739,
plant g=0.0,-0.19995666369039086,0.009984579579228223,0.0
plant g=0.3,-0.28039667021413994,0.01002638292376607,0.3
plant g=0.8,-0.41471626462315536,0.010125636412391847,0.8
