k,seed,arm,n,content,content_resid,position
6,0,real,1652,0.27665120501364066,0.32346469910460135,0.6255976033165215
6,0,perm,1652,0.07654529369232436,0.0805973745473451,0.005770502275463478
6,0,plant_content,1652,0.3766635278642854,0.3419023885323342,0.8500702220124985
6,0,plant_position,1652,0.8573920442807597,0.39648521793350155,0.9292176803585466
6,1,real,1792,0.425683190673661,0.31718341762005725,0.641985742471267
6,1,perm,1792,0.03462102990947299,0.02485234908991022,0.03313614147350661
6,1,plant_content,1792,0.8356548478692843,0.6875045686942853,0.9047518941422685
6,1,plant_position,1792,0.1872225882932067,0.4819778242877487,0.930865040202929
6,2,real,933,0.11772303935564124,0.18197259859394777,0.5006317148530494
6,2,perm,933,0.06042077113032644,0.041107295457499464,0.08097279947275195
6,2,plant_content,933,0.8956790231223498,0.7579492988292702,0.75157076497327
6,2,plant_position,933,0.36432571772135425,0.23884548464416078,0.878803988846014
8,0,real,1101,0.2779603992593629,0.23092677696741576,0.6094169408306767
8,0,perm,1101,0.12297895253347588,0.12168170010360738,0.000945772320028564
8,0,plant_content,1101,0.8934544042638769,0.7095359976617829,0.8555728983729558
8,0,plant_position,1101,0.8835413185882085,0.4416466606263486,0.9367845006342982
8,1,real,460,0.12077023455421423,0.10873578520185011,0.5919428820418657
8,1,perm,460,0.04275928026859144,0.07986034124525558,0.05037696692376792
8,1,plant_content,460,0.882662956000951,0.7179866902874481,0.7886865486893488
8,1,plant_position,460,0.4888781840960255,0.32721535257348167,0.8888085458176548
8,2,real,1144,0.4490742074304101,0.4114635696409087,0.6166368982534772
8,2,perm,1144,0.09628263369413334,0.12657495986404327,0.1169283850887367
8,2,plant_content,1144,0.9120712260674873,0.8150864217605319,0.8478315522727967
8,2,plant_position,1144,0.6399147830132585,0.28746070581152605,0.9304646513238042
