k,mode,n,pre,post,sexplant_pre,sexplant_post,plant_post
4,random,6717,0.5434932916266846,0.5413403285672289,0.9367775140670315,-0.001661028936777314,0.9833520841363859
4,dissimilar,2920,0.4619119463499367,0.47222947181443653,0.9280175839619398,-0.024034936327596627,0.9820041878463766
5,random,4297,0.603549293903492,0.6059779314688518,0.9482143954498721,-0.024869845918466072,0.9868215221385204
5,dissimilar,1874,0.4982416749188356,0.5112130478972582,0.9436879344099167,0.032962167383981,0.9856096843401784
6,random,2670,0.6210384385792704,0.626802728393571,0.953906751132519,0.0017889483800934201,0.9886740428656996
6,dissimilar,1166,0.5575888479819099,0.5662242535374165,0.9530624042899488,0.010661191382823275,0.9884533757976534
