seed,world,n,mean_hi,sd_hi,mean_all,sd_all,mean_car,sd_car
1,real,9175,1.0276608334201918,0.3004450514362833,0.7012638269875636,0.21054630939003288,0.7050757206189431,0.20908331733449076
1,cb,9175,0.9559977423519834,0.25604111402758895,0.6993658148087422,0.20721403090171545,0.7073524210605133,0.20911577890188238
1,flat,9175,1.1458839305435218,0.3410365618517865,0.7207116330774825,0.21552726539785064,1.08151795875187,0.30549739195838993
1,spiky,9175,1.0410165770541828,0.3355790374613491,0.7061191254024551,0.21734380919458302,0.7990574990084602,0.340659394774887
2,real,9175,1.0276608334201918,0.3004450514362833,0.7012638269875636,0.21054630939003288,0.7069822732743702,0.20826140879993119
2,cb,9175,0.9558774181465537,0.2601751161624711,0.6996622290189273,0.2070828490666217,0.6980933181807657,0.2037262492936177
2,flat,9175,1.138161388170985,0.3401734650669535,0.7202614765906367,0.21556171780824243,1.0770532607652339,0.30596071291261207
2,spiky,9175,1.0419116122299423,0.34089974757600605,0.7059336541834509,0.21713079779144182,0.7979497138736623,0.3365261244749355
3,real,9175,1.0276608334201918,0.3004450514362833,0.7012638269875636,0.21054630939003288,0.7030176076750425,0.21433934362848137
3,cb,9175,0.9570388542204173,0.26494134818929116,0.6997762497875838,0.20772668869675853,0.7059554562954953,0.21004528632383135
3,flat,9175,1.1455420024882508,0.34046095607609095,0.7211172932228326,0.21537835878743347,1.0873120226720758,0.3078711014790102
3,spiky,9175,1.0408933399413458,0.33638996391735104,0.705897063998468,0.2166645221551806,0.7927010455970843,0.3327667742618786
4,real,9175,1.0276608334201918,0.3004450514362833,0.7012638269875636,0.21054630939003288,0.7029424107502166,0.21338895835597482
4,cb,9175,0.955899608246257,0.25450985502379775,0.6996904788055537,0.20704288202427612,0.6922708776934448,0.2048527756790771
4,flat,9175,1.1443749417997726,0.3501920063019618,0.7208799700367087,0.2155639410687925,1.0786795975475167,0.3094991267330515
4,spiky,9175,1.0407139673357089,0.3412415163797198,0.7061257844440973,0.21722325271340598,0.7960707190251618,0.3412823925771614
5,real,9175,1.0276608334201918,0.3004450514362833,0.7012638269875636,0.21054630939003288,0.7029156272551154,0.21620728142171478
5,cb,9175,0.9569485950742296,0.25581395076651825,0.6998280848422935,0.2071068519182581,0.6947715714853272,0.2085978652626756
5,flat,9175,1.1473848347505216,0.34531444647365195,0.7206869713657335,0.2155684251811314,1.082888654269421,0.3144544293605827
5,spiky,9175,1.0387048880790597,0.32523729794122525,0.7055481583088532,0.21620865532815906,0.7867295715468691,0.3269791875673607
6,real,9175,1.0276608334201918,0.3004450514362833,0.7012638269875636,0.21054630939003288,0.7016055055236714,0.21028699933640052
6,cb,9175,0.958244588111687,0.25990931874721257,0.6992520287533963,0.20655407818368152,0.6959742261751535,0.20200285744316002
6,flat,9175,1.1449841544101715,0.3418874753127395,0.720549410642968,0.2154514070612094,1.0813162995973538,0.30686268846310616
6,spiky,9175,1.0388619709608307,0.3376544656845616,0.7056413213272742,0.2163820263358538,0.7877932964396472,0.3251855035808361
