round,quantity,value,const,spread_of_ratio,npairs,shift,se
#118 A12/R14,强度@n>=250,3.0483646705770284,3.0,0.9988650962800032,73,0.03180853873685029,0.010434623863695815
#118 A12/R14,强度@n>=400,3.0927674721691205,3.0,1.0380673456007348,68,0.03392084012859961,0.010967795165282549
