q,gate_free,arm,seed,C
1,False,real,11,0.02759698573789582
1,False,perm_free,11,-0.00011221516626713779
1,False,perm_count,11,0.0003950286164747796
1,False,perm_pattern,11,-0.00024302674523535295
1,False,real,29,0.02763934090054676
1,False,perm_free,29,-0.00031844714700457466
1,False,perm_count,29,0.00023832714553773116
1,False,perm_pattern,29,3.9536071599788336e-05
1,False,real,47,0.02434867466944579
1,False,perm_free,47,-0.0003767608564314573
1,False,perm_count,47,0.00015767718682946352
1,False,perm_pattern,47,-0.0002166379643253613
1,True,real,11,0.011562564196993641
1,True,perm_free,11,-7.505570756372038e-05
1,True,perm_count,11,-0.0004256949504042318
1,True,perm_pattern,11,-0.0001971235930626758
1,True,real,29,0.012387536571670132
1,True,perm_free,29,-0.00027302165229459163
1,True,perm_count,29,1.545038674954924e-05
1,True,perm_pattern,29,0.00012615507628477296
1,True,real,47,0.010433509857905254
1,True,perm_free,47,-0.0005982026737626489
1,True,perm_count,47,-0.0004543440214397343
1,True,perm_pattern,47,-1.1406175223216408e-06
4,False,real,11,0.0761536039166687
4,False,perm_free,11,-0.0020400203380056547
4,False,perm_count,11,0.005436940672957302
4,False,perm_pattern,11,-0.0005515034948936348
4,False,real,29,0.06725981425049377
4,False,perm_free,29,-0.0021497579199597494
4,False,perm_count,29,0.0036711844974722796
4,False,perm_pattern,29,-0.0015191752234781086
4,False,real,47,0.08035500131737883
4,False,perm_free,47,-0.0007801240127907061
4,False,perm_count,47,0.007479493110526425
4,False,perm_pattern,47,-0.0028613340189886927
4,True,real,11,0.010532862536677623
4,True,perm_free,11,-0.002129871459647603
4,True,perm_count,11,-0.0003356601769202161
4,True,perm_pattern,11,-0.0002765783535013666
4,True,real,29,0.00794183302667395
4,True,perm_free,29,-0.002093070619923032
4,True,perm_count,29,-0.0009399468396823485
4,True,perm_pattern,29,-0.0017648196389908888
4,True,real,47,0.007302037846189768
4,True,perm_free,47,-0.0010131605499134055
4,True,perm_count,47,-0.0010715367914877483
4,True,perm_pattern,47,-0.0026923789287074396
7,False,real,11,0.10495155909109055
7,False,perm_free,11,-0.006045462083761888
7,False,perm_count,11,-4.231960545941771e-05
7,False,perm_pattern,11,-0.008441711132437968
7,False,real,29,0.08393704328732488
7,False,perm_free,29,-0.0067330189910977944
7,False,perm_count,29,2.5389366415939918e-05
7,False,perm_pattern,29,-5.439952341468324e-05
7,False,real,47,0.09804823052694955
7,False,perm_free,47,-0.008894886991351103
7,False,perm_count,47,-0.006050250151349523
7,False,perm_pattern,47,-0.005826879574613031
7,True,real,11,0.0514853640058639
7,True,perm_free,11,-0.0020546209481978606
7,True,perm_count,11,-0.0025530149718440143
7,True,perm_pattern,11,-0.005390703686086629
7,True,real,29,0.047346927728384
7,True,perm_free,29,-0.0058827334542209675
7,True,perm_count,29,-0.005949801964739487
7,True,perm_pattern,29,-0.0005901837782248398
7,True,real,47,0.05685670218885186
7,True,perm_free,47,-0.008372948762856658
7,True,perm_count,47,-0.00482175244670302
7,True,perm_pattern,47,-0.005908209130775277
8,False,real,11,0.02169393406392439
8,False,perm_free,11,-0.004729681687375753
8,False,perm_count,11,-0.0020958156403172445
8,False,perm_pattern,11,-0.0010873957794607092
8,False,real,29,0.019078538276487866
8,False,perm_free,29,-0.003360810863080377
8,False,perm_count,29,-0.0037298678669079877
8,False,perm_pattern,29,-0.005344507210161331
8,False,real,47,0.03141582302786494
8,False,perm_free,47,-0.007122304523724532
8,False,perm_count,47,-0.0015032859539205745
8,False,perm_pattern,47,-0.0015419759767154595
8,True,real,11,0.010124076872823906
8,True,perm_free,11,-0.0045415005628201
8,True,perm_count,11,-0.004184668552213666
8,True,perm_pattern,11,-0.001967864289529664
8,True,real,29,0.005351989021082915
8,True,perm_free,29,-0.0017283252659467951
8,True,perm_count,29,-0.00457404853691068
8,True,perm_pattern,29,-0.0041263295090597785
8,True,real,47,0.018313720868596173
8,True,perm_free,47,-0.00641133804378291
8,True,perm_count,47,-0.0007930005286053143
8,True,perm_pattern,47,-0.00296877054886302
13,False,real,11,0.01687297792002107
13,False,perm_free,11,-0.0007546485927252267
13,False,perm_count,11,0.001158854068176729
13,False,perm_pattern,11,-0.0006809995916055023
13,False,real,29,0.01779338299392419
13,False,perm_free,29,-0.0004963847454948489
13,False,perm_count,29,0.0007089097457079196
13,False,perm_pattern,29,4.327800076209254e-05
13,False,real,47,0.017746970267662143
13,False,perm_free,47,-0.0005622604388074715
13,False,perm_count,47,0.0012898837185236767
13,False,perm_pattern,47,-0.00031471467177279777
13,True,real,11,0.006486455460257279
13,True,perm_free,11,-0.0006175827003850332
13,True,perm_count,11,-0.00036081764149964446
13,True,perm_pattern,11,-0.0005810392214138371
13,True,real,29,0.006949291664055335
13,True,perm_free,29,-0.0004849575110725812
13,True,perm_count,29,-0.00027258897810766847
13,True,perm_pattern,29,-7.372890124246467e-05
13,True,real,47,0.006929037536095639
13,True,perm_free,47,-0.0007160274363902097
13,True,perm_count,47,-0.00037570446299106663
13,True,perm_pattern,47,-0.0005038210376576702
17,False,real,11,0.032361702985122864
17,False,perm_free,11,-0.007325970699309847
17,False,perm_count,11,0.0008492596231879368
17,False,perm_pattern,11,-0.002693215226828638
17,False,real,29,0.026667604279131174
17,False,perm_free,29,-0.006124565306995011
17,False,perm_count,29,-0.0053172773271054075
17,False,perm_pattern,29,-0.0030218202581275833
17,False,real,47,0.028000581947163594
17,False,perm_free,47,-0.0027630110869691915
17,False,perm_count,47,-0.00650242159306802
17,False,perm_pattern,47,-0.005425356047330743
17,True,real,11,0.013526916052505888
17,True,perm_free,11,-0.00944857633428653
17,True,perm_count,11,-0.0017960423617662258
17,True,perm_pattern,11,-0.002107005871854528
17,True,real,29,0.009105492581502617
17,True,perm_free,29,-0.004522042875688248
17,True,perm_count,29,-0.00299295611279371
17,True,perm_pattern,29,-0.0023954409251517594
17,True,real,47,0.01651267163694148
17,True,perm_free,47,-0.0028434953405779284
17,True,perm_count,47,-0.006904037397741036
17,True,perm_pattern,47,-0.005389743837817762
19,False,real,11,0.03106111541202572
19,False,perm_free,11,-0.0013541837566228843
19,False,perm_count,11,-0.0017338029316512626
19,False,perm_pattern,11,-0.0011390938586416377
19,False,real,29,0.03060677202069817
19,False,perm_free,29,-0.0004989858006433368
19,False,perm_count,29,0.00010079752513947327
19,False,perm_pattern,29,-0.0016577290403666511
19,False,real,47,0.028074251715123122
19,False,perm_free,47,-0.0009629453556059264
19,False,perm_count,47,6.384450237373329e-06
19,False,perm_pattern,47,-0.0012754696924776043
19,True,real,11,0.014622301105220226
19,True,perm_free,11,-0.0012041652677889925
19,True,perm_count,11,-0.0025997010501253026
19,True,perm_pattern,11,-0.0010082677366268777
19,True,real,29,0.014943432862048134
19,True,perm_free,29,-0.0003731201586242294
19,True,perm_count,29,-0.0008662272712972596
19,True,perm_pattern,29,-0.0014875825138748189
19,True,real,47,0.013600853139899893
19,True,perm_free,47,-0.0014190660762013474
19,True,perm_count,47,-0.0013002558842378775
19,True,perm_pattern,47,-0.0005411283904516173
29,False,real,11,0.034530933833383015
29,False,perm_free,11,-0.0004817600751166884
29,False,perm_count,11,-0.0005477196925932626
29,False,perm_pattern,11,-0.0013263598646865438
29,False,real,29,0.03170893592179069
29,False,perm_free,29,-0.0006511985952907251
29,False,perm_count,29,0.0006029567729329832
29,False,perm_pattern,29,-0.0009260231355343596
29,False,real,47,0.03212005252645134
29,False,perm_free,47,-0.0007612729602360924
29,False,perm_count,47,-0.00041957683360160924
29,False,perm_pattern,47,-0.0004829398124229778
29,True,real,11,0.011731667676858848
29,True,perm_free,11,-0.0005057008293271048
29,True,perm_count,11,-0.0009360899755188612
29,True,perm_pattern,11,-0.0016197376856641466
29,True,real,29,0.01037800427444513
29,True,perm_free,29,-0.0008882151617158884
29,True,perm_count,29,-0.000537458012782488
29,True,perm_pattern,29,-0.0012232563458888235
29,True,real,47,0.011204218480373784
29,True,perm_free,47,-0.0006308436557742603
29,True,perm_count,47,-0.0016454436813040374
29,True,perm_pattern,47,-0.0005090355714935102
39,False,real,11,0.020292939382749897
39,False,perm_free,11,-0.0033675923110439987
39,False,perm_count,11,-0.0021707005572597637
39,False,perm_pattern,11,-0.005201399817402419
39,False,real,29,0.023355232440843365
39,False,perm_free,29,-0.006054499157284954
39,False,perm_count,29,-0.0026814195740815228
39,False,perm_pattern,29,-0.0040723641941006195
39,False,real,47,0.022378723640917864
39,False,perm_free,47,-0.005341890131329019
39,False,perm_count,47,-0.0005243102603201821
39,False,perm_pattern,47,-0.0021743903303165224
39,True,real,11,0.009188900775189413
39,True,perm_free,11,-0.0037094395293747473
39,True,perm_count,11,-0.0035018162956287346
39,True,perm_pattern,11,-0.006816540554968498
39,True,real,29,0.011335820198528412
