world,q,Kw,seed,arm,W
real,13,24,29,null,-1.1102230246251565e-16
real,17,1,11,real,-0.09399482794858993
real,17,1,11,null,-0.11231549220698267
real,17,2,11,real,-0.09314054118811832
real,17,2,11,null,-0.2157178024528229
real,17,3,11,real,-0.1902518546363582
real,17,3,11,null,-0.33018331258965816
real,17,5,11,real,-0.29203991556878106
real,17,5,11,null,-0.30229795056464204
real,17,8,11,real,-0.018149940535389097
real,17,8,11,null,-0.02756787773376801
real,17,12,11,real,8.881784197001252e-16
real,17,12,11,null,-1.1102230246251565e-16
real,17,16,11,real,8.881784197001252e-16
real,17,16,11,null,-1.1102230246251565e-16
real,17,24,11,real,8.881784197001252e-16
real,17,24,11,null,-1.1102230246251565e-16
real,17,1,29,real,-0.0846373778666073
real,17,1,29,null,-0.1252083028823643
real,17,2,29,real,-0.12546330429093255
real,17,2,29,null,-0.2192370159910867
real,17,3,29,real,-0.1537661543907728
real,17,3,29,null,-0.2102886048623559
real,17,5,29,real,-0.23278173340504893
real,17,5,29,null,-0.32854114708898907
real,17,8,29,real,-0.006978621245337324
real,17,8,29,null,-0.018573741025713852
real,17,12,29,real,-5.551115123125783e-16
real,17,12,29,null,0.0
real,17,16,29,real,-5.551115123125783e-16
real,17,16,29,null,0.0
real,17,24,29,real,-5.551115123125783e-16
real,17,24,29,null,0.0
real,19,1,11,real,0.01548281642702698
real,19,1,11,null,-0.061066014443158845
real,19,2,11,real,0.008012185295395713
real,19,2,11,null,-0.1124180879829616
real,19,3,11,real,0.0037528337129231204
real,19,3,11,null,-0.15991305841479886
real,19,5,11,real,-0.027633343643073016
real,19,5,11,null,-0.23860220545318023
real,19,8,11,real,-0.1312299584964708
real,19,8,11,null,-0.36533149787052754
real,19,12,11,real,-0.2965821424660894
real,19,12,11,null,-0.4465606407709888
real,19,16,11,real,-0.27244670355532385
real,19,16,11,null,-0.3837897817653888
real,19,24,11,real,9.992007221626409e-16
real,19,24,11,null,1.1102230246251565e-16
real,19,1,29,real,0.013632202300733143
real,19,1,29,null,-0.05385236837703944
real,19,2,29,real,-0.0025984441209764286
real,19,2,29,null,-0.10523480722963985
real,19,3,29,real,-0.01115249587672984
real,19,3,29,null,-0.1470170214061619
real,19,5,29,real,-0.04698500450640197
real,19,5,29,null,-0.24078205274459719
real,19,8,29,real,-0.1513961925173002
real,19,8,29,null,-0.3643999017672924
real,19,12,29,real,-0.3302028573570841
real,19,12,29,null,-0.5003979209156507
real,19,16,29,real,-0.28270451569211263
real,19,16,29,null,-0.35190059512037386
real,19,24,29,real,-3.3306690738754696e-16
real,19,24,29,null,1.1102230246251565e-16
real,29,1,11,real,0.021195761421980763
real,29,1,11,null,-0.057360926368379195
real,29,2,11,real,0.021335267651516165
real,29,2,11,null,-0.10210301399287092
real,29,3,11,real,0.012835882048285896
real,29,3,11,null,-0.152908293580592
real,29,5,11,real,-0.02472863237101597
real,29,5,11,null,-0.2410838999717262
real,29,8,11,real,-0.1349049611654013
real,29,8,11,null,-0.35082951410691987
real,29,12,11,real,-0.2472074484438549
real,29,12,11,null,-0.44192843379420366
real,29,16,11,real,-0.255273087682902
real,29,16,11,null,-0.27604990997503276
real,29,24,11,real,1.9984014443252818e-15
real,29,24,11,null,3.3306690738754696e-16
real,29,1,29,real,0.022694893285965523
real,29,1,29,null,-0.04489340638229655
real,29,2,29,real,0.020244044832511632
real,29,2,29,null,-0.10238136912269791
real,29,3,29,real,0.009639032898707045
real,29,3,29,null,-0.14565889034809676
real,29,5,29,real,-0.03541143822588355
real,29,5,29,null,-0.24013314173017386
real,29,8,29,real,-0.12301477285729479
real,29,8,29,null,-0.36637716341487103
real,29,12,29,real,-0.22435411153088702
real,29,12,29,null,-0.4326347099846154
real,29,16,29,real,-0.2614463312361046
real,29,16,29,null,-0.2520173231592311
real,29,24,29,real,-8.881784197001252e-16
real,29,24,29,null,-1.1102230246251565e-16
real,39,1,11,real,0.034193997310251745
real,39,1,11,null,-0.11542002772959759
