q,dens,scale,seed,skill,pp,pp_carriers
1,0.05,0.0,11,-0.013352303408559307,0.0,0.0
1,0.05,0.08,11,-0.01272587376012535,8.657002580532476,38.841888020271035
1,0.05,0.12,11,-0.012086664438737738,9.718660327569275,43.57477084387152
1,0.05,0.2,11,-0.011715215827215353,10.633898820926433,47.65389831151908
1,0.05,0.3,11,-0.011377930868029074,11.068184073867837,49.58970071233299
1,0.05,0.5,11,-0.011004087737576662,11.442778198438877,51.255653611528516
1,0.15,0.0,11,-0.013352303408559307,0.0,0.0
1,0.15,0.08,11,-0.010092362545477629,11.947708355390768,30.97493249384433
1,0.15,0.12,11,-0.005911209756893077,14.368183161640152,37.22544227251839
1,0.15,0.2,11,-0.0006091326652543083,16.795517013678808,43.47855414505304
1,0.15,0.3,11,0.002380545525404454,18.120454864272233,46.88846637591558
1,0.15,0.5,11,0.0054790199773818715,19.178248296638294,49.61186737505215
1,0.3,0.0,11,-0.013352303408559307,0.0,0.0
1,0.3,0.08,11,-0.006860334541953339,13.916375889098559,25.52278734517259
1,0.3,0.12,11,0.002674808849337129,17.587084235753885,32.24051776462137
1,0.3,0.2,11,0.019218556270363396,21.731690126602516,39.810100288852
1,0.3,0.3,11,0.03106933735719719,24.2223606153535,44.35245721245533
1,0.3,0.5,11,0.04257098406258297,26.308891039885314,48.15837760074588
1,1.0,0.0,11,-0.010683208014402923,0.0,0.0
1,1.0,0.08,11,0.0037004775932755196,16.402449828426096,16.402449828426096
1,1.0,0.12,11,0.030404458888375285,22.316783648935463,22.316783648935463
1,1.0,0.2,11,0.09867586277495621,30.698829667594037,30.698829667594037
1,1.0,0.3,11,0.1732741340332874,37.06122293216547,37.06122293216547
1,1.0,0.5,11,0.266899858799058,43.390772705108596,43.390772705108596
1,0.05,0.0,29,-0.015428448026421293,0.0,0.0
1,0.05,0.08,29,-0.015114479310162854,8.540938592359403,39.146749889690334
1,0.05,0.12,29,-0.014818454292004679,9.514596499266274,43.58151610261736
1,0.05,0.2,29,-0.014350625020903562,10.390599555929997,47.558077274016746
1,0.05,0.3,29,-0.014255443777176136,10.837323869066614,49.57441820759224
1,0.05,0.5,29,-0.013984410631338151,11.193872844031244,51.18109835641695
1,0.15,0.0,29,-0.015428448026421293,0.0,0.0
1,0.15,0.08,29,-0.014595526757008592,11.961081648936494,30.782572573029448
1,0.15,0.12,29,-0.011447861418426242,14.330027425787991,36.869825828587864
1,0.15,0.2,29,-0.007403141289698212,16.720673182735915,42.991078058076695
1,0.15,0.3,29,-0.0042664128152034575,18.101668361292557,46.510889344835746
1,0.15,0.5,29,-0.0021302704535017813,19.237696305750685,49.39079386531084
1,0.3,0.0,29,-0.015428448026421293,0.0,0.0
1,0.3,0.08,29,-0.011292581293398829,13.77331904822282,25.166929191409544
1,0.3,0.12,29,-0.0046035528056054265,17.3501110400446,31.699964276488572
1,0.3,0.2,29,0.009051547404419602,21.34430764912048,38.984109419847016
1,0.3,0.3,29,0.019071973741382586,23.83225649505093,43.50699572998012
1,0.3,0.5,29,0.029203340725771576,26.06212546783768,47.54328751524938
1,1.0,0.0,29,-0.011995930764098661,0.0,0.0
1,1.0,0.08,29,0.0011273933488381571,16.157479577136623,16.157479577136623
1,1.0,0.12,29,0.027023304252279945,22.037861077247076,22.037861077247076
1,1.0,0.2,29,0.09169421277502521,30.232821984486375,30.232821984486375
1,1.0,0.3,29,0.16176865907033045,36.34238820045562,36.34238820045562
1,1.0,0.5,29,0.2430700637045602,42.59231707158991,42.59231707158991
4,0.05,0.0,11,-0.004597908756593161,0.0,0.0
4,0.05,0.08,11,-0.0037262498257469856,9.069851610420667,38.537883854892705
4,0.05,0.12,11,-0.0029548975970496993,10.341586255190336,43.62338537004409
4,0.05,0.2,11,-0.002750808228143109,11.437537041905726,47.91899298037784
