,坐标1,坐标2,坐标3
成分1,0.5569947416641179,0.8127285833887511,0.6217585841849209
成分2,0.4911935116215621,0.8131839992367931,0.4994506144129923
成分3,0.28967525030939234,0.6670723340635173,0.9098585487433134
成分4,0.3234730745705098,0.10965199380620731,0.20784001897949195
