level,rel,n_hit,r_shame_alone,beta_resid,sd
S_块内位置,0.7282256524794055,18,0.11299427089572064,0.033310215985605796,0.023587747904090035
D_跨块对比,0.6784854929614842,11,0.08644319008125978,-0.033310215985605816,0.02358774790409004
