score,n_mean,n_sd,n_min,n_max,thr,thr_sd,borderline
位置分 S,18.8,0.565685424949238,18,20,0.037494953327302606,0.0034465408182253764,2
跨块对比 D,9.48,1.3302631318652713,7,11,0.04489296737959263,0.003064037174965736,3
成分 1,11.44,0.8979977728257459,11,15,0.037351206132789,0.002797223288973573,4
成分 3,19.64,0.5571355310873648,19,21,0.03741312880523935,0.002461101352235275,3
纯噪声,0.0,0.0,0,0,0.037696538168608254,0.0033172596160773176,1
极强(12 个结局之和),21.88,0.3249615361854384,21,22,0.0378317579337983,0.002704301742063414,1
