coord,ins,nested,rel,n
S,0.12164980231465351,0.12173025257554267,0.0006613266882346799,6717
D,0.08739360571714684,0.0877832925524666,0.0044589856674525615,4718
c1,-0.0721137288162879,-0.04566533860969487,0.36675943181320125,6717
c2,0.0023257554475206933,0.003743133643873165,0.6094270134305944,6717
c3,-0.12781974870845972,-0.09194010594622756,0.2807050015727145,6717
清晰度,0.014710135804473886,0.014759172233187328,0.0033335129848718523,6717
