cap,keep,used,x_sd_median,delta,sd,null,plant
≤14,2806,2806,0.5329074222332777,0.005508310405312034,0.006603497912463714,0.016655512256300836,-0.1083403219060247
≤16,5277,5277,0.5132701985813468,0.001171748561741095,0.00468065926715412,0.010482012972157145,-0.11777104614369746
≤18,7310,7310,0.4927684492252642,-0.00326091278883155,0.003969372271737374,0.00523715026615165,-0.10028172844175638
∞,9944,9944,0.4732642843417568,-0.032817165356653744,0.003693744588473178,0.0012608573085466292,-0.07676502127348366
