r_xx,disattenuated
0.3,0.3208132832693692
0.4,0.27783245318276695
0.5,0.2485009006688779
0.6,0.22684924809449175
0.7,0.2100215935041706
0.8,0.1964572116792285
0.9,0.18522163545517797
1.0,0.1757166719939282
