seed,world,p1,p5,p10,p25,p50,p75,p90,p95,p99
1,real,0.3742906693623345,0.4607783553752414,0.5077635416194267,0.5998185803350137,0.6998812830689709,0.7975595040446073,0.8893020771580599,0.9519626504339482,1.070611356338061
1,cb,0.4155541329949895,0.4975974620590247,0.5421655686624299,0.6176945060937239,0.7000570824116394,0.7833570862932779,0.8559489462796007,0.9020919229111486,0.9861872280584074
1,WIDTH,0.4218756268805389,0.5107759362003118,0.5567325126495924,0.6380912413893104,0.7426963913615126,0.9256171568157059,1.1132473072125701,1.191692478404253,1.4050477926612581
1,ONESIDE,0.42717846192991965,0.5157015017461987,0.5624260763962637,0.6475567289162822,0.7509305721737973,0.9285721036660168,1.1132473072125701,1.191692478404253,1.4050477926612581
2,real,0.3742906693623345,0.4607783553752414,0.5077635416194267,0.5998185803350137,0.6998812830689709,0.7975595040446073,0.8893020771580599,0.9519626504339482,1.070611356338061
2,cb,0.41973445401456444,0.4946431694266337,0.5418019282683051,0.616539010578991,0.6987702182064583,0.7805096218043747,0.8570861758601899,0.9004723228841784,0.9847652268326311
2,WIDTH,0.4263864043645074,0.5064822010236144,0.5553970438009153,0.6390767371422322,0.7417252056683282,0.936625604666277,1.1226265223556056,1.206797011316572,1.4454552674338186
2,ONESIDE,0.4286787926984287,0.5119232969560981,0.5617179091080096,0.6478854127420657,0.7516463183959516,0.9408270009415023,1.1229105129639134,1.2075156612894349,1.4454552674338186
3,real,0.3742906693623345,0.4607783553752414,0.5077635416194267,0.5998185803350137,0.6998812830689709,0.7975595040446073,0.8893020771580599,0.9519626504339482,1.070611356338061
3,cb,0.41478080758834146,0.4946782640392788,0.537948597841875,0.6143947024187009,0.700027023377588,0.7814357455954752,0.853742734166084,0.8953454811912657,0.9853966222089644
3,WIDTH,0.4250257940346914,0.5047416267942336,0.5504007738247196,0.6386538725214983,0.7423512626431837,0.9219030060250692,1.1142241174492011,1.1966647358100797,1.413292769604938
3,ONESIDE,0.42731990505451684,0.5103586461057809,0.5580169510873388,0.6461759628319332,0.7522420933274856,0.9271074756428107,1.1144508805554185,1.1966647358100797,1.413292769604938
4,real,0.3742906693623345,0.4607783553752414,0.5077635416194267,0.5998185803350137,0.6998812830689709,0.7975595040446073,0.8893020771580599,0.9519626504339482,1.070611356338061
4,cb,0.41710953990600746,0.4985880808035616,0.5399261950870538,0.6172257122374939,0.6996501185873388,0.7809528227821421,0.8549325564674551,0.8992406826512036,0.985740122783787
4,WIDTH,0.4241946204975704,0.5103948310122717,0.5570768087112907,0.6400222564997986,0.7452650722474407,0.9437396519845744,1.1160462606262853,1.190797013709896,1.4059030381923505
4,ONESIDE,0.4259521575938064,0.5143522952634753,0.5633050537680456,0.6481910856340474,0.7542109789886927,0.9493036045551708,1.1162948748404378,1.191448702345399,1.4059030381923505
