k,n,b_common,b_uncommon,diff,lo,hi,mde,sig
6,922,-0.05417972744937302,-0.009823249745188037,0.044356477704184986,-0.04944925303588006,0.14271354439309944,0.09091140976635367,False
8,1665,-0.03950666817121463,0.036999893772503796,0.07650656194371842,0.012208465677814613,0.13242454822383237,0.0613136984673809,True
10,3699,0.023359607179618776,0.0814928163288848,0.05813320914926603,0.018936147176120466,0.0951534460902975,0.0389657719669783,True
12,5140,0.05169767338612688,0.07188347572011039,0.02018580233398351,-0.01780508276054081,0.06061646164321896,0.03776263666506863,False
14,5890,0.033247931974545966,0.09424043455005397,0.060992502575508006,0.029962638432338137,0.09607070237221474,0.034179864469744865,True
