q,mode,arm,seed,C
29,none,perm,11,-0.0004817600751166884
29,none,real,29,0.03170893592179069
29,none,perm,29,-0.0006511985952907251
29,none,real,47,0.03212005252645134
29,none,perm,47,-0.0007612729602360924
29,gate,real,11,0.019521198646230364
29,gate,perm,11,-0.0005074332851696672
29,gate,real,29,0.018201286026505725
29,gate,perm,29,-0.0008169638690727066
29,gate,real,47,0.018942703507734637
29,gate,perm,47,-0.0005597227947128358
29,demo,real,11,0.019244780036800968
29,demo,perm,11,-0.0005586217726329945
29,demo,real,29,0.01692753529120916
29,demo,perm,29,-0.0008199026483317606
29,demo,real,47,0.017637885121767116
29,demo,perm,47,-0.0008708325678851159
29,both,real,11,0.011731667676858848
29,both,perm,11,-0.0005057008293271048
29,both,real,29,0.01037800427444513
29,both,perm,29,-0.0008882151617158884
29,both,real,47,0.011204218480373784
29,both,perm,47,-0.0006308436557742603
39,none,real,11,0.020292939382749897
39,none,perm,11,-0.0033675923110439987
39,none,real,29,0.023355232440843365
39,none,perm,29,-0.006054499157284954
39,none,real,47,0.022378723640917864
39,none,perm,47,-0.005341890131329019
39,gate,real,11,0.00970161405401948
39,gate,perm,11,-0.004005674222717359
39,gate,real,29,0.014062873495294004
39,gate,perm,29,-0.004848369290097243
39,gate,real,47,0.0137247626065371
39,gate,perm,47,-0.004296249590933443
39,demo,real,11,0.016990053393833415
39,demo,perm,11,-0.003078906060403397
39,demo,real,29,0.01780818029457798
39,demo,perm,29,-0.005992200842177997
39,demo,real,47,0.018243043547468862
39,demo,perm,47,-0.004577926404687571
39,both,real,11,0.009188900775189413
39,both,perm,11,-0.0037094395293747473
39,both,real,29,0.011335820198528412
39,both,perm,29,-0.004755816346839303
39,both,real,47,0.012403554697058894
39,both,perm,47,-0.0033683570290087284
42,none,real,11,0.031914373863960344
42,none,perm,11,-0.0051034720647256115
42,none,real,29,0.03519595207743864
42,none,perm,29,-0.00544050723182643
42,none,real,47,0.03762440502403519
42,none,perm,47,-0.0034208357153197033
42,gate,real,11,0.020525510723831908
42,gate,perm,11,-0.005202650716696788
42,gate,real,29,0.02184680726361865
42,gate,perm,29,-0.003936099624062828
42,gate,real,47,0.025152189024802096
42,gate,perm,47,-0.003234344846951953
42,demo,real,11,0.026044101402115105
42,demo,perm,11,-0.004715076879951874
42,demo,real,29,0.02890809732724553
42,demo,perm,29,-0.005821103232866109
42,demo,real,47,0.030222881305719373
42,demo,perm,47,-0.0035210829079626027
42,both,real,11,0.01859025418303184
42,both,perm,11,-0.005113339199575684
42,both,real,29,0.01933110050274023
42,both,perm,29,-0.004093144473172217
42,both,real,47,0.02119227953492475
42,both,perm,47,-0.003443103885533594
48,none,real,11,0.01984306360131982
48,none,perm,11,-0.0013997827848921673
48,none,real,29,0.028361114107341656
48,none,perm,29,-0.002474047613993835
48,none,real,47,0.024725675097159394
48,none,perm,47,-0.0009936941816605094
48,gate,real,11,0.011618156280362335
48,gate,perm,11,-0.0009574649354154863
48,gate,real,29,0.01638930318952425
48,gate,perm,29,-0.0018660887715028496
48,gate,real,47,0.011340669258065317
48,gate,perm,47,-0.0015139631260868702
48,demo,real,11,0.011707805657957704
48,demo,perm,11,-0.0009385827200245611
48,demo,real,29,0.017845208778775046
48,demo,perm,29,-0.0022617742654020834
48,demo,real,47,0.015164544464849494
48,demo,perm,47,-0.0007834128752765013
48,both,real,11,0.007820548963094143
48,both,perm,11,-0.0006761078321579905
48,both,real,29,0.011584104949243557
48,both,perm,29,-0.0017350086633346473
48,both,real,47,0.007660970042552506
48,both,perm,47,-0.0014104029906159
53,none,real,11,0.027421768010687075
53,none,perm,11,-0.0020545290109373893
53,none,real,29,0.027458074303673086
53,none,perm,29,-0.00156796869660214
53,none,real,47,0.02232770073953838
53,none,perm,47,-0.0008730891551020914
53,gate,real,11,0.01278316690321002
53,gate,perm,11,-0.0022056799587067966
53,gate,real,29,0.01375928596313547
53,gate,perm,29,-0.0018073167419372371
53,gate,real,47,0.011793442896990136
53,gate,perm,47,-0.0005642353222642393
53,demo,real,11,0.02082295377833887
53,demo,perm,11,-0.0020197876936072223
53,demo,real,29,0.02179623600379732
53,demo,perm,29,-0.0018228701016335114
53,demo,real,47,0.017382427591139282
53,demo,perm,47,-0.0008289102909940782
53,both,real,11,0.010376809313368929
53,both,perm,11,-0.0021719030355716873
53,both,real,29,0.011314607976555036
53,both,perm,29,-0.001926517704458064
53,both,real,47,0.009288778159986855
53,both,perm,47,-0.0006079436659769399
55,none,real,11,0.026480808705314773
55,none,perm,11,-0.0008718354401063833
55,none,real,29,0.027420961372123354
55,none,perm,29,-0.000908287559552412
55,none,real,47,0.02596162287755055
55,none,perm,47,-0.0009164642691817937
55,gate,real,11,0.01618499269060647
55,gate,perm,11,-0.0009506541391062218
55,gate,real,29,0.01792842530005745
55,gate,perm,29,-0.000781337243064173
55,gate,real,47,0.01630190322649827
55,gate,perm,47,-0.000722235390797521
55,demo,real,11,0.024904013479695397
55,demo,perm,11,-0.000969100865231276
55,demo,real,29,0.024661423240253444
55,demo,perm,29,-0.0008024161847182132
55,demo,real,47,0.023747913511084517
55,demo,perm,47,-0.0010726330894507141
55,both,real,11,0.01559134729790368
55,both,perm,11,-0.0011708317357894682
55,both,real,29,0.017072661217193308
55,both,perm,29,-0.0006447724550802114
55,both,real,47,0.015337099732390946
55,both,perm,47,-0.0009105583207672518
62,none,real,11,0.05271359602438774
62,none,perm,11,-0.00010590240026986386
62,none,real,29,0.048282582096164095
62,none,perm,29,-0.0008700093431042166
62,none,real,47,0.04424326292517955
62,none,perm,47,-0.001656581853695882
62,gate,real,11,0.034697551818920425
62,gate,perm,11,-0.0006308317109822159
62,gate,real,29,0.029566593731385704
62,gate,perm,29,-0.0006610309262433667
62,gate,real,47,0.02740274959570721
